Drug.Name,Drug.Prescriptions
Synthroid,"21,561,481"
Crestor,"21,478,776"
Ventolin HFA,"18,203,939"
Nexium,"15,298,228"
Advair Diskus,"13,776,325"
Lantus Solostar,"10,939,840"
Vyvanse,"10,413,999"
Lyrica,"10,022,365"
Spiriva Handihaler,"9,635,935"
Januvia,"9,148,946"
Lantus,"9,145,153"
Abilify,"9,099,978"
Symbicort,"8,265,594"
Tamiflu,"8,025,275"
Cialis,"7,472,719"
Viagra,"7,104,074"
Suboxone,"6,985,631"
Zetia,"6,925,137"
Xarelto,"6,739,752"
Bystolic,"6,461,435"
Celebrex,"6,449,730"
Nasonex,"6,432,382"
Namenda,"5,961,360"
Flovent HFA,"5,736,650"
Oxycontin,"5,347,532"
Diovan,"5,224,025"
Thyroid,"5,128,576"
Voltaren Gel,"5,123,676"
Nuvaring,"4,917,514"
Afluria,"4,650,167"
Dexilant,"4,620,902"
Benicar,"4,483,555"
Proventil HFA,"4,385,623"
Humalog,"4,209,193"
Novolog Flexpen,"4,179,914"
Novolog,"3,968,615"
Vesicare,"3,686,182"
Premarin,"3,462,987"
Benicar HCT,"3,352,383"
Lo Loestrin Fe,"3,335,659"
Lumigan,"3,298,208"
Namenda XR,"3,157,234"
Humalog Kwikpen,"3,043,015"
Janumet,"3,027,293"
Pataday,"2,905,818"
Ortho-Tri-Cy Lo 28,"2,900,301"
Travatan Z,"2,861,717"
Combivent Respimat,"2,846,891"
Toprol-XL,"2,811,156"
Pristiq,"2,769,837"
Invokana,"2,711,901"
Minastrin 24 Fe,"2,555,803"
Strattera,"2,418,649"
Seroquel XR,"2,390,205"
Vytorin,"2,384,517"
Focalin XR,"2,334,004"
Dulera,"2,307,692"
Levemir Flexpen,"2,283,328"
Zostavax,"2,279,662"
Avodart,"2,271,799"
Pradaxa,"2,257,507"
Chantix,"2,208,377"
Eliquis,"2,179,340"
Humira,"2,173,082"
Levemir Flextouch,"2,164,191"
Levemir,"2,100,856"
Victoza 3-Pak,"2,078,630"
Combigan,"1,909,750"
Exelon,"1,825,705"
Tradjenta,"1,744,708"
Premarin Vaginal,"1,738,728"
Enbrel,"1,691,819"
Onglyza,"1,691,615"
Ranexa,"1,661,050"
Truvada,"1,651,083"
Welchol,"1,644,996"
Linzess,"1,639,652"
Latuda,"1,635,230"
Alphagan P,"1,483,322"
Viibryd,"1,425,156"
Effient,"1,406,934"
Norvir,"1,376,523"
Amitiza,"1,371,937"
Azor,"1,338,802"
Advair HFA,"1,310,993"
Uloric,"1,293,249"
Lotemax,"1,245,330"
Myrbetriq,"1,230,040"
Asmanex Twisthaler,"1,219,923"
Epiduo,"1,212,887"
Xopenex HFA,"1,204,025"
Durezol,"1,189,206"
Patanol,"1,181,134"
Atripla,"1,147,295"
Aggrenox,"1,144,739"
Exforge,"1,134,532"
Humulin R,"1,110,123"
Carafate,"1,110,008"
Novolog Flxpen Mix 70/30,"1,069,219"
Relpax,"1,035,265"